class	gut	gut	gut	gut	gut	gut	gut	gut	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	left_palm	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue	tongue
subclass	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	gut_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	left_palm_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl	tongue_subcl
subject	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2	subject-1	subject-1	subject-1	subject-1	subject-1	subject-2	subject-2	subject-2	subject-2
k__Bacteria.p__Verrucomicrobia.c___Pedosphaerae_.o___Pedosphaerales_.o___Pedosphaerales__f__L5.o___Pedosphaerales__g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1409.44326991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c___Saprospirae_.o___Saprospirales_.f__Chitinophagaceae.f__Chitinophagaceae_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1367.98905609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Campylobacteraceae.g__Campylobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1882.64825855	0.0	911.992704058	1017.29399797	16629.9828809	3371.26000843	2114.16490486	6718.03991306	7128.71287129	17992.4242424	10752.688172	4444.44444444	4490.34575662	15389.0407019	5182.21330659	10646.0551261	3906.25
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f___Paraprevotellaceae_.g___Prevotella_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12550.9883903	8857.95634293	23027.8157775	4069.17599186	23233.0643189	9270.96502318	4933.05144468	2766.25172891	1584.15841584	5208.33333333	22017.4091142	0.0	1347.10372699	81691.3562491	7188.23136075	2187.54557387	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.f__Comamonadaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1535.66941226	16316.2849074	0.0	4787.96169631	8646.99898271	8804.10858401	0.0	0.0	27267.3384707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfomicrobiaceae.g__Desulfomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.324129275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae.g__Flectobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2510.19767807	1898.13350206	0.0	0.0	2445.58571778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p___Thermi_.c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1595.9872321	1271.61749746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.o__Bacteroidales_f__L5.o__Bacteroidales_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1467.35143067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Mogibacteriaceae_.g__Mogibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	279.21262041	0.0	0.0	0.0	0.0	2445.58571778	0.0	0.0	0.0	0.0	1893.93939394	3584.22939068	0.0	0.0	0.0	835.840855901	437.509114773	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Phascolarctobacterium	76168.8219412	19438.4449244	55071.1335475	18746.7899332	12820.5128205	14832.1623731	17152.6586621	33924.3333799	0.0	0.0	0.0	0.0	0.0	1264.22250316	3523.60817477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Veillonella	0.0	0.0	0.0	0.0	0.0	0.0	857.632933105	0.0	4079.07122686	0.0	18923.8486092	9409.96948118	27390.5600391	8849.55752212	0.0	58684.0545347	58217.8217822	67234.8484848	144393.241167	56111.1111111	64660.9788954	73205.8104415	45636.9107322	47542.6571387	54687.5
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	0.0	381.14597891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Catenibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1882.64825855	1898.13350206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae	0.0	0.0	0.0	642.013353878	0.0	0.0	0.0	0.0	44242.2340759	15501.4236001	24851.8011856	12970.4984741	57226.705796	50990.3076275	33121.9168428	236712.112231	189702.970297	224431.818182	43522.7854583	282777.777778	8082.62236192	192866.388609	288365.095286	514510.718973	248883.928571
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Hyphomicrobiaceae.g__Devosia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2279.98176015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes	665908.767941	623046.626858	557480.49564	598484.848485	533936.651584	608587.041374	633300.661603	686444.227279	148101.663006	128440.366972	67031.4637483	25432.3499491	182440.694546	29077.1175727	53558.8442565	68761.1144043	190495.049505	89488.6363636	397849.462366	76666.6666667	119443.197126	369336.976845	62019.3915079	54542.8029751	74218.75
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	0.0	0.0	0.0	0.0	0.0	468.384074941	245.037980887	0.0	0.0	0.0	0.0	0.0	3668.37857667	0.0	0.0	0.0	0.0	0.0	2560.16385049	0.0	0.0	1869.69653387	1170.17719826	729.181857955	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Tissierellaceae_.g__1_68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568.87354879	0.0	0.0	2543.23499491	1467.35143067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Chlorophyta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.324129275	0.0	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister	0.0	0.0	0.0	1027.2213662	0.0	0.0	0.0	1535.66941226	0.0	0.0	0.0	0.0	8070.43286867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	82705.698451	1143.43793673	3671.40890317	25808.9368259	0.0	936.768149883	367.556971331	0.0	0.0	0.0	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Paludibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2507.97993616	1780.26449644	10760.5771582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Filifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1265.4223347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Gemellales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5020.39535613	0.0	11171.9106247	3560.52899288	3668.37857667	12642.2250316	0.0	9681.88105118	17821.7821782	6628.78787879	8192.52432156	11666.6666667	13022.0026942	1438.22810298	6018.05416249	2041.70920228	10602.6785714
k__Bacteria.p__Spirochaetes.c__Spirochaetes.o__Spirochaetales.f__Spirochaetaceae.g__Treponema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12961.6043042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Cellvibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.09883903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Comamonadaceae.g__Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6866.73448627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	0.0	2159.82721382	1032.58375402	4750.8988187	2111.61387632	1873.53629977	2327.86081843	0.0	5961.71948541	6959.82284087	2735.97811218	0.0	0.0	0.0	1409.44326991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__OPB54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.549419517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cytophagaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2510.19767807	1898.13350206	1823.98540812	1780.26449644	2445.58571778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1780.26449644	4891.17143556	26127.2650653	2114.16490486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Tissierellaceae_.g__Helcococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	683.994528044	1271.61749746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfomicrobiaceae.f__Desulfomicrobiaceae_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.711167352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.549419517	0.0	683.994528044	0.0	733.675715334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	76168.8219412	20327.7855419	55874.2542451	19774.0112994	12820.5128205	14832.1623731	18010.2915952	35460.0027921	7530.5930342	5061.68933882	18923.8486092	9409.96948118	76057.7158229	14749.2625369	3523.60817477	58684.0545347	58217.8217822	67234.8484848	147977.470558	56111.1111111	64660.9788954	76369.9122681	45636.9107322	48855.184483	54687.5
k__Bacteria.p__SR1.p__SR1_c__L3.p__SR1_o__L4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568.87354879	1581.77791838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11923.4389708	0.0	0.0	3560.52899288	42064.0743458	5478.2975137	0.0	0.0	0.0	2840.90909091	0.0	0.0	0.0	431.468430893	835.840855901	3208.400175	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Acidaminobacteraceae_.f___Acidaminobacteraceae__g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1467.35143067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146532.789457	496045.555204	41039.6716826	243896.236012	2201.027146	128107.88032	29598.3086681	5532.50345781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Alcaligenes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1255.09883903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.f__Rikenellaceae_g__L6	0.0	0.0	0.0	0.0	603.318250377	0.0	612.594952218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Carnobacteriaceae.g__Granulicatella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3792.66750948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c___Saprospirae_.o___Saprospirales_.f__Chitinophagaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7844.36774396	4428.97817146	1367.98905609	2797.5584944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2510.19767807	1898.13350206	1823.98540812	1780.26449644	2445.58571778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Spirochaetes.c__Spirochaetes.o__Spirochaetales.f__Spirochaetaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12961.6043042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	82705.698451	1143.43793673	3671.40890317	25808.9368259	0.0	936.768149883	367.556971331	0.0	0.0	0.0	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Moryella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1711.91000245	0.0	0.0	790.357636831	3168.31683168	8049.24242424	3072.19662058	3888.88888889	0.0	1438.22810298	0.0	2041.70920228	0.0
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	0.0	508.194638547	688.389169344	0.0	603.318250377	624.512099922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Erysipelotrichi	0.0	9147.50349384	6080.77099587	4237.28813559	1809.95475113	2498.04839969	5023.27860818	0.0	1882.64825855	6010.75608984	0.0	508.646998983	2934.70286134	0.0	0.0	395.178818415	1188.11881188	0.0	1024.06554019	0.0	0.0	3739.39306774	1838.84988298	1166.69097273	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.f__Bacillaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1568.87354879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Thermoleophilia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2196.42296831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospira	17336.9333523	56790.7508576	76411.1977972	85259.373395	97737.5565611	46994.5355191	34917.9122764	1814.88203267	0.0	0.0	0.0	0.0	0.0	0.0	1409.44326991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia	0.0	0.0	0.0	0.0	0.0	468.384074941	245.037980887	0.0	0.0	0.0	0.0	0.0	3668.37857667	0.0	0.0	0.0	0.0	0.0	2560.16385049	0.0	0.0	1869.69653387	1170.17719826	729.181857955	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Tissierellaceae_.g__Finegoldia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1535.66941226	5020.39535613	4428.97817146	5927.95257638	18311.2919634	10760.5771582	18541.9300464	30303.030303	2173.48350128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	949.066751028	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Succinivibrionaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	941.324129275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__TM7.c__TM7_3.c__TM7_3_o__L4.c__TM7_3_f__L5.c__TM7_3_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	287.645620595	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia	665908.767941	623046.626858	557480.49564	598484.848485	533936.651584	608587.041374	633300.661603	686444.227279	55538.1236272	28788.3581145	57227.5421797	16276.7039674	155783.810223	18963.3375474	35236.0817477	64611.7368109	190495.049505	88068.1818182	397849.462366	76666.6666667	117198.024248	366029.052208	60347.7097961	53376.1120023	74218.75
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	86116.2427171	166306.695464	227627.351996	187211.093991	265158.371041	214519.906323	200931.144327	88929.2196007	5334.17006589	5061.68933882	2735.97811218	4832.14649034	18586.4514551	0.0	9866.10288936	19956.53033	8712.87128713	19886.3636364	13312.8520225	9444.44444444	9878.76066457	17258.7372357	18388.4988298	28438.0924603	15066.9642857
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Brucellaceae.f__Brucellaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12237.2136806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylotenera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2034.58799593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Aerococcaceae.g__Facklamia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1780.26449644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6589.26890493	949.066751028	1139.99088007	1525.94099695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Vibrionales.f__Vibrionaceae.g__Vibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2214.48908573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.f__Ruminococcaceae_g__L6	0.0	2413.9245331	1491.50986691	0.0	0.0	2185.79234973	13354.5699583	2373.30727349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Oceanisphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4079.07122686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.711167352	0.0	1017.29399797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.f__Pasteurellaceae_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117665.516159	21195.8241063	5699.95440036	13224.8219736	0.0	3371.26000843	9866.10288936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.f__Fusobacteriaceae_x__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6275.49419517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.f__Clostridiaceae_g__L6	0.0	0.0	0.0	0.0	0.0	936.768149883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2530.84466941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Cyanobacteria.c__Chloroplast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54910.5742077	37013.6032901	1823.98540812	17039.6744659	1711.91000245	16434.8925411	33121.9168428	1383.12586445	3168.31683168	0.0	0.0	0.0	118096.093399	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Paracoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5647.94477565	0.0	2735.97811218	4323.49949135	0.0	0.0	9161.3812544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	468.384074941	245.037980887	977.244171437	82208.9739567	44606.1372983	337209.302326	303407.934893	94644.1672781	166034.555415	140239.605356	46235.9217546	17425.7425743	50662.8787879	44546.8509985	35555.5555556	92501.1225864	9348.48266935	44299.5653628	29896.4561762	58035.7142857
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	0.0	9147.50349384	6080.77099587	4237.28813559	1809.95475113	2498.04839969	5023.27860818	0.0	1882.64825855	6010.75608984	0.0	508.646998983	2934.70286134	0.0	0.0	395.178818415	1188.11881188	0.0	1024.06554019	0.0	0.0	3739.39306774	1838.84988298	1166.69097273	0.0
k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Chlorophyta.o__Chlorophyta_f__L5.o__Chlorophyta_g__L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	762.970498474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f___Tissierellaceae_	0.0	0.0	0.0	770.416024653	0.0	0.0	0.0	2652.5198939	23219.3285221	29421.0692819	59051.5275878	90284.8423194	46710.6872096	93131.0577328	126849.894292	4346.96700257	5148.51485149	946.96969697	0.0	0.0	898.069151325	1006.75967208	668.672684721	291.672743182	0.0
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5647.94477565	1265.4223347	3419.97264022	4323.49949135	0.0	0.0	11275.5461593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas	0.0	0.0	0.0	2439.65074474	0.0	0.0	0.0	977.244171437	19454.032005	6959.82284087	2051.98358413	1525.94099695	6847.64000978	3792.66750948	1409.44326991	5334.91404861	1980.1980198	0.0	0.0	2222.22222222	0.0	5033.79836042	5349.38147777	4812.60026251	8370.53571429
